Course ID,Course Name,Course URL,Language,Category,Sub Category,Avg Rating,Enrollment,Hours Of Video,Instructor Name,Approved Date,Update Date
756150,Angular - The Complete Guide (2020 Edition),https://www.udemy.com/the-complete-guide-to-angular-2,en,Development,Web Development,4.58,"328,730",31.91,Maximilian Schwarzmüller,2/10/16,4/28/20
629302,Learn Python Programming Masterclass,https://www.udemy.com/python-the-complete-python-developer-course,en,Development,Programming Languages,4.52,"158,930",50.14,Tim Buchalka,11/8/15,4/22/20
1035000,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/docker-mastery,en,Development,Development Tools,4.6,"133,767",19.26,Bret Fisher,3/30/17,4/10/20
1187016,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,https://www.udemy.com/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert,en,Development,Databases,4.56,"158,481",19.8,Colt Steele,5/12/17,4/18/20
1576854,Beginning C++ Programming - From Beginner to Beyond,https://www.udemy.com/beginning-c-plus-plus-programming,en,Development,Programming Languages,4.55,"78,109",41.49,Tim Buchalka's Learn Programming Academy,3/19/18,4/25/20
2259120,The Complete 2020 Flutter Development Bootcamp with Dart,https://www.udemy.com/flutter-bootcamp-with-dart,en,Development,Mobile Apps,4.75,"46,270",27.27,Dr. Angela Yu,5/1/19,4/8/20
1430746,The Complete Web Developer in 2020: Zero to Mastery,https://www.udemy.com/the-complete-web-developer-zero-to-mastery,en,Development,Web Development,4.7,"112,628",33.9,Andrei Neagoie,12/21/17,4/14/20
258316,Complete C# Unity Developer 2D: Learn to Code Making Games,https://www.udemy.com/unitycourse,en,Development,Game Development,4.66,"347,082",35.18,Ben Tristem,10/24/14,4/7/20
692188,The Python Mega Course: Build 10 Real World Applications,https://www.udemy.com/the-python-mega-course,en,Development,Programming Languages,4.49,"163,923",23.62,Ardit Sulce,6/8/16,4/10/20
1307308,"Python Bootcamp: Vom Anfänger zum Profi, inkl. Data Science",https://www.udemy.com/python-bootcamp,de,Development,Data Science,4.56,"64,226",30.61,Jannis Seemann,9/25/17,4/16/20
2473048,Complete Python Developer in 2020: Zero to Mastery,https://www.udemy.com/complete-python-developer-zero-to-mastery,en,Development,Programming Languages,4.65,"40,919",30.16,Andrei Neagoie,9/23/19,4/27/20
1178124,Complete C# Unity Developer 3D: Learn to Code Making Games,https://www.udemy.com/unitycourse2,en,Development,Game Development,4.61,"103,891",33.87,Ben Tristem,9/27/17,4/7/20
1151632,Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/deeplearning,en,Development,Data Science,4.46,"246,999",22.53,Kirill Eremenko,3/28/17,4/21/20
1708340,Flutter & Dart - The Complete Guide [2020 Edition],https://www.udemy.com/learn-flutter-dart-to-build-ios-android-apps,en,Development,Mobile Apps,4.65,"70,105",35.38,Academind by Maximilian Schwarzmüller,6/26/18,4/25/20
